Mimiga Town.mp3
20,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,23,23,22,23,23,23,22,23,23,23,23,23,23,23,23,23,23,23,23
21,23,42,23,42,23,42,23,42,23,42,23,42,23,42,23,42,23,42,23
21,21,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
21,23,41,23,23,41,23,23,41,23,23,41,23,23,41,23,23,41,22,23
21,23,40,40,40,40,40,40,40,40,40,40,40,61,40,40,40,40,40,40
21,22,41,23,23,41,23,23,41,23,23,41,62,63,41,23,23,41,23,23
65,23,40,40,40,40,40,40,40,40,40,64,60,61,40,40,40,40,40,40
21,21,41,22,23,41,23,23,41,62,23,41,23,63,41,23,23,41,23,23
21,21,23,23,22,23,23,22,23,63,23,63,22,23,63,23,23,23,23,23
21,21,21,22,23,23,23,23,23,62,23,23,23,23,29,23,23,22,23,23
21,21,21,21,23,21,23,23,23,23,62,63,21,21,29,21,23,23,23,23
21,21,21,21,21,21,21,21,21,21,21,21,21,23,23,21,23,23,23,23
21,21,21,21,21,21,21,21,21,21,21,21,21,23,23,21,23,23,23,23
