Safety.mp3
16,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,32,32,32,32,32,32,32,32,32,32,0,0,0
0,0,0,32,30,30,30,30,30,30,30,30,32,0,0,0
0,0,0,32,30,30,30,30,30,30,30,30,32,0,0,1
0,1,0,32,30,30,30,30,30,30,30,30,32,0,0,1
0,0,0,32,30,30,30,30,30,30,30,30,32,0,0,1
0,0,0,32,30,30,30,30,30,30,30,30,32,0,0,1
0,0,0,32,30,30,30,30,30,30,30,30,32,0,1,1
0,0,0,32,30,30,30,30,30,30,30,30,32,0,1,1
0,0,0,32,30,30,30,30,30,30,30,30,32,0,1,1
0,0,0,32,32,32,32,32,31,32,32,32,32,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
