OnettTheme.mp3
25,30
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,20,20,20,12,20,20,20,20,11,11,11,20,20,20,20,20,20,20,20,20,20,11,11
11,11,20,12,20,12,20,20,20,20,13,13,11,20,20,20,20,20,20,20,20,14,20,11,11
11,11,12,20,20,20,20,20,12,20,11,11,11,20,20,20,20,-1,20,12,20,20,20,11,11
11,11,20,20,11,11,20,20,20,20,20,20,11,20,20,20,20,20,20,20,20,20,20,11,11
11,11,20,12,13,11,20,12,20,12,20,20,11,20,20,20,20,20,20,20,20,20,20,11,11
11,11,20,20,11,11,20,20,11,11,12,12,13,20,20,20,-1,20,-1,20,20,20,20,11,11
11,11,12,20,11,11,11,11,11,11,20,20,11,20,20,20,20,20,20,20,20,20,20,11,11
11,11,20,20,20,14,20,20,11,20,20,20,11,20,20,11,11,13,11,11,20,20,20,11,11
11,11,20,12,20,20,20,20,11,12,11,11,11,11,20,20,20,12,20,20,20,20,20,11,11
11,11,20,20,20,20,12,20,11,20,20,20,11,11,20,20,20,20,20,20,20,20,20,11,11
11,11,11,11,11,13,11,20,11,20,12,20,11,11,20,20,-1,20,20,20,-1,20,20,11,11
6,20,20,20,20,20,20,20,11,20,20,20,11,20,11,20,11,20,20,20,20,20,20,11,11
11,11,11,11,11,11,11,11,11,20,20,12,11,20,20,11,20,20,20,20,20,20,20,11,11
11,11,12,12,11,12,20,20,20,-1,11,11,11,11,11,11,20,20,20,20,20,20,20,11,11
11,11,11,11,11,12,20,12,12,20,12,20,11,11,11,11,-1,-1,20,20,20,20,20,20,5
11,11,20,20,20,14,14,11,11,11,11,11,11,11,11,12,12,11,11,13,11,11,11,11,11
11,11,20,20,20,20,20,20,20,20,20,20,-1,20,11,12,20,12,12,12,12,12,12,11,11
11,11,20,20,20,11,12,20,20,12,12,20,11,20,11,12,12,12,12,12,20,12,12,11,11
11,11,20,20,20,11,20,12,20,11,11,11,11,20,11,12,20,12,20,12,12,12,12,11,11
11,11,20,20,12,11,12,11,20,11,11,11,11,20,11,12,20,12,12,12,12,20,12,11,11
11,11,11,20,20,13,20,11,20,20,20,20,11,20,11,20,12,12,12,12,12,20,12,11,11
11,11,11,12,20,11,20,20,20,20,12,20,11,20,11,12,20,12,20,20,12,12,20,11,11
11,11,12,20,20,11,20,12,20,20,20,20,11,20,11,12,20,14,12,12,20,12,20,11,11
11,11,20,20,20,20,-1,20,12,20,12,13,11,12,11,20,12,20,12,20,12,12,12,11,11
11,11,20,20,20,11,11,20,20,20,12,11,11,20,11,11,11,11,11,13,11,20,12,11,11
11,11,12,20,12,11,11,12,20,12,20,12,11,20,12,20,20,20,20,12,20,12,12,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
